id	map	x	y	z	has_z	position_role	position_name	anchor_score	score	evidence	source
11016	100	99585	48087	2271	true	Teleport_Start	MiniGame_Fly_11016_Teleport_Start	850	227	Name=MiniGame_Fly_11016	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11016	100	99760	47414	2237	true	NPC_Start	MiniGame_Fly_11016_NPC_Start	850	227	Name=MiniGame_Fly_11016	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11017	100	124476	103368	10280	true	Teleport_Start	MiniGame_Fly_11017_Teleport_Start	850	227	Name=MiniGame_Fly_11017	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11017	100	124529	102409	10145	true	NPC_Start	MiniGame_Fly_11017_NPC_Start	850	227	Name=MiniGame_Fly_11017	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11018	100	39580	83475	1935	true	Teleport_Start	MiniGame_Fly_11018_Teleport_Start	850	227	Name=MiniGame_Fly_11018	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11018	100	39829	85406	1510	true	NPC_Start	MiniGame_Fly_11018_NPC_Start	850	227	Name=MiniGame_Fly_11018	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11019	100	38094	95695	12750	true	Teleport_Start	MiniGame_Fly_11019_Teleport_Start	850	227	Name=MiniGame_Fly_11019	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11019	100	37744	95602	12626	true	NPC_Start	MiniGame_Fly_11019_NPC_Start	850	227	Name=MiniGame_Fly_11019	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11020	100	148408	43908	24988	true	Teleport_Start	MiniGame_Fly_11020_Teleport_Start	850	227	Name=MiniGame_Fly_11020	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11020	100	147051	42783	24608	true	NPC_Start	MiniGame_Fly_11020_NPC_Start	850	227	Name=MiniGame_Fly_11020	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11021	100	93801	-40675	35305	true	Teleport_Start	MiniGame_Fly_11021_Teleport_Start	850	227	Name=MiniGame_Fly_11021	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11021	100	90975	-39879	34257	true	NPC_Start	MiniGame_Fly_11021_NPC_Start	850	227	Name=MiniGame_Fly_11021	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11022	100	34311	-46039	41685	true	Teleport_Start	MiniGame_Fly_11022_Teleport_Start	850	227	Name=MiniGame_Fly_11022	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11022	100	35165	-39518	36996	true	NPC_Start	MiniGame_Fly_11022_NPC_Start	850	227	Name=MiniGame_Fly_11022	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11023	100	123463	-30153	26626	true	Teleport_Start	MiniGame_Fly_11023_Teleport_Start	850	227	Name=MiniGame_Fly_11023	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11023	100	122577	-30571	26444	true	NPC_Start	MiniGame_Fly_11023_NPC_Start	850	227	Name=MiniGame_Fly_11023	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11024	100	128453	117518	10577	true	Teleport_Start	MiniGame_Fly_11024_Teleport_Start	850	227	Name=MiniGame_Fly_11024	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11025	100	201448	205803	6018	true	Teleport_Start	MiniGame_Fly_11025_Teleport_Start	850	227	Name=MiniGame_Fly_11025	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11025	100	199430	201393	8126	true	NPC_Start	MiniGame_Fly_11025_NPC_Start	850	227	Name=MiniGame_Fly_11025	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11026	100	235289	165128	11479	true	Teleport_Start	MiniGame_Fly_11026_Teleport_Start	850	227	Name=MiniGame_Fly_11026	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11026	100	236479	165455	11465	true	NPC_Start	MiniGame_Fly_11026_NPC_Start	850	227	Name=MiniGame_Fly_11026	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11027	100	326961	181183	27004	true	Teleport_Start	MiniGame_Fly_11027_Teleport_Start	850	227	Name=MiniGame_Fly_11027	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11027	100	326075	180615	26976	true	NPC_Start	MiniGame_Fly_11027_NPC_Start	850	227	Name=MiniGame_Fly_11027	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11028	100	229424	211476	14652	true	Teleport_Start	MiniGame_Fly_11028_Teleport_Start	850	227	Name=MiniGame_Fly_11028	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11028	100	229185	210601	14768	true	NPC_Start	MiniGame_Fly_11028_NPC_Start	850	227	Name=MiniGame_Fly_11028	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11029	100	280512	191649	8117	true	Teleport_Start	MiniGame_Fly_11029_Teleport_Start	850	227	Name=MiniGame_Fly_11029	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11029	100	280021	191521	8050	true	NPC_Start	MiniGame_Fly_11029_NPC_Start	850	227	Name=MiniGame_Fly_11029	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11030	100	272635	166587	4375	true	Teleport_Start	MiniGame_Fly_11030_Teleport_Start	850	227	Name=MiniGame_Fly_11030	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11030	100	275989	165089	4712	true	NPC_Start	MiniGame_Fly_11030_NPC_Start	850	227	Name=MiniGame_Fly_11030	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11031	100	268062	83110	10455	true	Teleport_Start	MiniGame_Fly_11031_Teleport_Start	850	227	Name=MiniGame_Fly_11031	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11031	100	269179	82606	10541	true	NPC_Start	MiniGame_Fly_11031_NPC_Start	850	227	Name=MiniGame_Fly_11031	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11032	100	212299	41233	15122	true	Teleport_Start	MiniGame_Fly_11032_Teleport_Start	850	227	Name=MiniGame_Fly_11032	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11032	100	211265	42551	15135	true	NPC_Start	MiniGame_Fly_11032_NPC_Start	850	227	Name=MiniGame_Fly_11032	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11033	100	285383	107253	14854	true	Teleport_Start	MiniGame_Fly_11033_Teleport_Start	850	227	Name=MiniGame_Fly_11033	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11033	100	281339	108705	13770	true	NPC_Start	MiniGame_Fly_11033_NPC_Start	850	227	Name=MiniGame_Fly_11033	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11034	100	310946	76980	34338	true	Teleport_Start	MiniGame_Fly_11034_Teleport_Start	850	227	Name=MiniGame_Fly_11034	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11034	100	311746	79193	32935	true	NPC_Start	MiniGame_Fly_11034_NPC_Start	850	227	Name=MiniGame_Fly_11034	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
