PlaceID	KindID	GroupID	MapID	MissionRange	MissionType	MissionValue1	AcceptConditionType	AcceptConditionValue3	Memo	CID	UID	UIDName	PosX	PosY	PosZ	RespawnCycleID	ServerDeathCheck	SpawnConditionID	SectionUID
129	129	129	100	DataLayer_UnexpectedMission129	DEFEAT_MONSTER	160	MONSTER_ALIVE	DCommon_Dragon_Ground_Nam_1091301_Treasure_Roam	야성의 날개 바르곤 (중급드래곤)	160	9507515906880330561	DCommon_Dragon_Ground_Nam_1091301_Treasure_Roam	10435.0	-72567.0	30810.0	105	True	0	2001940000100
130	130	130	100	DataLayer_UnexpectedMission130	DEFEAT_MONSTER	161	MONSTER_ALIVE	DSlime_Ice_Nam_1090801_Treasure_Roam	눌러붙은 점액 프렁크 (슬라임)	161	3845248382215559590	DSlime_Ice_Nam_1090801_Treasure_Roam	129712.0	-63973.0	25344.0	105	True	0	2101950000100
131	131	131	100	DataLayer_UnexpectedMission131	DEFEAT_MONSTER	162	MONSTER_ALIVE	Spray_Harpy_Nam_1110101	붕괴의 날개 아엘라 (파란 하피)	162	7085092531233268936	Spray_Harpy_Nam_1110101	255336.0	30049.0	23504.0	105	True	0	2192020000100
132	132	132	100	DataLayer_UnexpectedMission132	DEFEAT_MONSTER	163	MONSTER_ALIVE	Orc_HeavyArmor_boss_Nam_1110201	철갑대장 무르도크 (오크 헤비아머)	163	18242084682200376908	Orc_HeavyArmor_boss_Nam_1110201	252566.0	37154.0	23785.0	105	True	0	2192020000100
133	133	133	100	DataLayer_UnexpectedMission133	DEFEAT_MONSTER	164	MONSTER_ALIVE	TrollBarbarian_Nam_1112301	게걸스러운 카일록 (트롤 바바리안)	164	1927376182283196327	TrollBarbarian_Nam_1112301	317086.0	117081.0	12616.0	105	True	0	2242090000100
134	134	134	100	DataLayer_UnexpectedMission134	DEFEAT_MONSTER	165	MONSTER_ALIVE	DSkeleton_Commander_Nam_1110801	백골지휘관 말라카 (스켈레톤 커맨더)	165	9249235238357063495	DSkeleton_Commander_Nam_1110801	320398.0	170847.0	12934.0	105	True	0	2252130000100
135	135	135	100	DataLayer_UnexpectedMission135	DEFEAT_MONSTER	166	MONSTER_ALIVE	DSlime_Nam_1120201	자가포식자 굴트 (냉기 빅슬라임)	166	12248564256757759292	DSlime_Nam_1120201	255676.0	149494.0	-600.0	105	True	0	2192110000100
136	136	136	100	DataLayer_UnexpectedMission136	DEFEAT_MONSTER	167	MONSTER_ALIVE	DWraith_Nam_1101001	파멸의 원혼 아바돈 (레이스)	167	11769887525500870932	DWraith_Nam_1101001	299741.0	196485.0	3629.0	105	True	0	2232150000100
137	137	137	100	DataLayer_UnexpectedMission137	DEFEAT_MONSTER	168	MONSTER_ALIVE	DKillerHoneybee_Nam_1100601	핏빛 통솔자 베스피나 (허니비)	168	1145203366862935070	DKillerHoneybee_Nam_1100601	253148.0	181860.0	7887.0	105	True	0	2192140000100
138	138	138	100	DataLayer_UnexpectedMission138	DEFEAT_MONSTER	172	MONSTER_ALIVE	DOrc_Armored_Named_172	철갑 고르둔 (오크아머드)	172	647739087278948657	DOrc_Armored_Named_172	192934.0	-90794.0	13072.0	105	True	0	2151920000100
139	139	139	100	DataLayer_UnexpectedMission139	DEFEAT_MONSTER	173	MONSTER_ALIVE	DOrc_Armored_Named_173	비틀대는 송곳니 라그룬 (북부 놀)	173	647737987767320446	DOrc_Armored_Named_173	9623.0	-22455.0	25324.0	105	True	0	2001980000100
140	140	140	100	DataLayer_UnexpectedMission140	DEFEAT_MONSTER	174	MONSTER_ALIVE	DS_Unexpected_Named_174	갇힌 포식자 부르곤 (트롤)	174	975589626698323211	DS_Unexpected_Named_174	46988.0	231542.0	-221.0	105	True	0	2032180000100
141	141	141	100	DataLayer_UnexpectedMission141	DEFEAT_MONSTER	175	MONSTER_ALIVE	DS_Unexpected_Named_175	숨은 굶주림 바르굴 (구울)	175	975588527186695000	DS_Unexpected_Named_175	213719.0	10248.0	9638.0	105	True	0	2162000000100
142	142	142	100	DataLayer_UnexpectedMission142	DEFEAT_MONSTER	176	MONSTER_ALIVE	DS_Unexpected_Named_176	전류방출 무르토 (슬라임)	176	975591825721579633	DS_Unexpected_Named_176	108698.0	126305.0	2859.0	105	True	0	2082090000100
143	143	143	100	DataLayer_UnexpectedMission143	DEFEAT_MONSTER	177	MONSTER_ALIVE	DS_Unexpected_Named_177	깊은숨 그롬토(오우거)	177	975590726209951422	DS_Unexpected_Named_177	80259.0	197866.0	290.0	105	True	0	2062150000100
144	144	144	100	DataLayer_UnexpectedMission144	DEFEAT_MONSTER	178	MONSTER_ALIVE	DS_Unexpected_Named_178	충돌 확인용 골렘 (광석 골렘)	178	975585228651810367	DS_Unexpected_Named_178	119704.0	169500.0	-42166.0	105	True	0	2092130000100
