ID	MapID	Memo	MissionKindData	MissionPlaceWeight	MissionRange	SortOrder	UpdateTarget	_element	_row	_source
111	100	1월드 부락소탕11 인도하는 젤무어 (레이스)	111	100	DataLayer_UnexpectedMission111	10	M11_2	UnexpectedMissionPlaceData	10	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
112	100	1월드 부락소탕12 산성 점액 드라젤 (중독 슬라임)	112	100	DataLayer_UnexpectedMission112	9	M11_2	UnexpectedMissionPlaceData	11	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
113	100	1월드 부락소탕13 오크 삼형제 (바쉬1,2,3)	113	100	DataLayer_UnexpectedMission113	2	M11_2	UnexpectedMissionPlaceData	12	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
118	100	1월드 부락소탕18 굶주린 톱날의 크놀 (놀 치프)	118	100	DataLayer_UnexpectedMission118	4	M11_2	UnexpectedMissionPlaceData	13	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
119	100	1월드 부락소탕19 해골머리 루카키 (고블린 바바리안)	119	100	DataLayer_UnexpectedMission119	4	M11_2	UnexpectedMissionPlaceData	14	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
120	100	1월드 부락소탕20 미치광이 쿠아쿠 (고블린 버서커)	120	100	DataLayer_UnexpectedMission120	3	M11_2	UnexpectedMissionPlaceData	15	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
121	100	1월드 부락소탕21 사나운 킁킁이 (하운드)	121	100	DataLayer_UnexpectedMission121	3	M11_2	UnexpectedMissionPlaceData	16	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
122	100	1월드 부락소탕22 무너지는 대지 그롬카르	122	100	DataLayer_UnexpectedMission122	9	M11_2	UnexpectedMissionPlaceData	17	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
123	100	1월드 부락소탕23 이단의 인도자 브라하임 (용 숭배자)	123	100	DataLayer_UnexpectedMission123	9	M11_2	UnexpectedMissionPlaceData	18	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
124	100	1월드 부락소탕24 공허한 어스름 노르 (레이스)	124	100	DataLayer_UnexpectedMission124	10	M11_2	UnexpectedMissionPlaceData	19	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
125	100	1월드 부락소탕25 희미한 장막 쉐르 (레이스)	125	100	DataLayer_UnexpectedMission125	10	M11_2	UnexpectedMissionPlaceData	20	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
126	100	1월드 부락소탕26 묻힌 칼날 레스카 (스켈레톤 커맨더)	126	100	DataLayer_UnexpectedMission126	2	M11_2	UnexpectedMissionPlaceData	21	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
127	100	1월드 부락소탕27 땅을 가르는 크래그모 (고정형 거대웜)	127	100	DataLayer_UnexpectedMission127	11	M11_2	UnexpectedMissionPlaceData	22	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
128	100	1월드 부락소탕28 모래갈퀴 드라그스 (톱날 새끼웜)	128	100	DataLayer_UnexpectedMission128	11	M11_2	UnexpectedMissionPlaceData	23	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
129	100	1월드 부락소탕29 야성의 날개 바르곤 (중급드래곤)	129	100	DataLayer_UnexpectedMission129	11	M11_2	UnexpectedMissionPlaceData	24	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
130	100	1월드 부락소탕30 눌러붙은 점액 프렁크 (슬라임)	130	100	DataLayer_UnexpectedMission130	10	M11_2	UnexpectedMissionPlaceData	25	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
131	100	1월드 부락소탕31 붕괴의 날개 아엘라 (파란 하피)	131	100	DataLayer_UnexpectedMission131	12	M12	UnexpectedMissionPlaceData	26	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
132	100	1월드 부락소탕32 철갑대장 무르도크 (오크 헤비아머)	132	100	DataLayer_UnexpectedMission132	12	M12	UnexpectedMissionPlaceData	27	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
133	100	1월드 부락소탕33 게걸스러운 카일록 (트롤 바바리안)	133	100	DataLayer_UnexpectedMission133	8	M12	UnexpectedMissionPlaceData	28	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
134	100	1월드 부락소탕34 백골지휘관 말라카 (스켈레톤 커맨더)	134	100	DataLayer_UnexpectedMission134	12	M12	UnexpectedMissionPlaceData	29	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
135	100	1월드 부락소탕35 자가포식자 굴트 (냉기 빅슬라임)	135	100	DataLayer_UnexpectedMission135	8	M12	UnexpectedMissionPlaceData	30	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
136	100	1월드 부락소탕36 파멸의 원혼 아바돈 (레이스)	136	100	DataLayer_UnexpectedMission136	7	M12	UnexpectedMissionPlaceData	31	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
137	100	1월드 부락소탕37 핏빛 통솔자 베스피나 (허니비)	137	100	DataLayer_UnexpectedMission137	7	M12	UnexpectedMissionPlaceData	32	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
138	100	철갑 고르둔 (오크아머드)	138	100	DataLayer_UnexpectedMission138	9	M12	UnexpectedMissionPlaceData	33	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
139	100	비틀대는 송곳니 라그룬 (북부 놀)	139	100	DataLayer_UnexpectedMission139	11	M12	UnexpectedMissionPlaceData	34	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
140	100	갇힌 포식자 부르곤 (트롤)	140	100	DataLayer_UnexpectedMission140	4	M12	UnexpectedMissionPlaceData	35	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
141	100	숨은 굶주림 바르굴 (구울)	141	100	DataLayer_UnexpectedMission141	9	M12	UnexpectedMissionPlaceData	36	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
142	100	전류방출 무르토 (슬라임)	142	100	DataLayer_UnexpectedMission142	3	M12	UnexpectedMissionPlaceData	37	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
143	100	깊은숨 그롬토(오우거)	143	100	DataLayer_UnexpectedMission143	4	M12	UnexpectedMissionPlaceData	38	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
144	100	충돌 확인용 골렘 (광석 골렘)	144	100	DataLayer_UnexpectedMission144	3	M12	UnexpectedMissionPlaceData	39	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
